Еще раз о "Штрафбате". Кремлебот 9	Tubus Show	https://www.youtube.com/watch?v=l_tlqAN3x80	13:32	27.01.2018	
Кто придумал буденовку и как спасти Россию	Tubus Show	https://www.youtube.com/watch?v=7QQRIYJSzO4	11:25	27.01.2018	
Сeпapы пробрались в oперу	Анатолий Шарий	https://www.youtube.com/watch?v=RIGpR-0vMmw	12:51	27.01.2018	
"Немытая Россия"  Путина	Tubus Show	https://www.youtube.com/watch?v=ysX8-k6xm_8	10:06	27.01.2018	
О фильме "Коммунист"	Tubus Show	https://www.youtube.com/watch?v=a8V9Qj6Wybc	00:41	27.01.2018	
Справочник Познера #3. О нас	Tubus Show	https://www.youtube.com/watch?v=qMSif03EJPw	09:12	27.01.2018	
Справочник Познера #2. Гробокопатели	Tubus Show	https://www.youtube.com/watch?v=5HXQoqvhwEI	11:41	27.01.2018	
Справочник Познера #1. Дорога в Бундестаг	Tubus Show	https://www.youtube.com/watch?v=KvkKEyyF9dY	08:02	27.01.2018	
Goblin - Про выступление Коли с Уренгоя в Бундестаге	StalinHDTV	https://www.youtube.com/watch?v=snxqh1zvHLw	10:09	27.01.2018	
Путин про коммунизм и православие, Трамп про страны-помойки	Dmitry Puchkov	https://www.youtube.com/watch?v=t_6fbS0RLUw	24:28	27.01.2018	
20 лет фильму "ЧИСТИЛИЩЕ"	Tubus Show	https://www.youtube.com/watch?v=76hQdfjtkoU	1:06:03	27.01.2018	
Клим Жуков и Михаил Попов про единство и борьбу противоположностей в президентских выборах	Dmitry Puchkov	https://www.youtube.com/watch?v=TXE6BTrrCYI	1:16:59	27.01.2018	
